시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,성문전자,014910,32.89068546929284,45.15777774368216,21.951538277141115,3190,3317,3094,325
KOSPI,HD현대에너지솔루션,322000,38.252235338996016,37.989045288015035,23.758720863105065,186400,193856,180808,29
KOSPI,포스코퓨처엠,003670,37.02258851986561,35.44202192593484,27.53538806408344,232000,241280,225040,51
KOSPI,포스코인터내셔널,047050,32.51857735522253,40.93686833039325,26.54455431438421,67000,69680,64990,103
KOSPI,계양전기,012200,34.802742897273596,44.833018883975306,20.36423523851886,8940,9297,8671,92
KOSPI,한화생명,088350,32.85067538786358,34.325374024403246,32.82395058773318,5450,5668,5286,80
KOSPI,달바글로벌,483650,38.77134936248411,39.41172989304265,21.816919254357124,212500,221000,206125,90
KOSPI,크래프톤,259960,39.637850245568806,36.4911634544027,23.87098779014461,258000,268320,250260,98
KOSPI,S-Oil,010950,37.75774461280468,43.25520666165002,18.987045745313065,107300,111592,104081,83
KOSPI,하이브,352820,29.58261646008482,41.726134340078495,28.691252180068915,231000,240240,224070,69
KOSPI,일진전기,103590,36.70671421923078,35.29107969771421,28.002204592938885,110400,114816,107088,49
KOSPI,KT&G,033780,30.14871957545059,38.59887825121858,31.25240664367918,181000,188240,175570,76
KOSPI,NC,036570,38.41448464136155,38.4834481253798,23.102067233258648,263000,273520,255110,116
KOSPI,HD현대,267250,32.4209543292845,34.0837553355723,33.49529331537545,277500,288600,269175,72
KOSPI,한화솔루션,009830,37.64125187413534,36.634794354629534,25.72395228111901,40600,42224,39382,26
KOSPI,HD건설기계,267270,42.32004518519462,34.15859339253039,23.521360677216936,159300,165672,154521,67
KOSPI,DB손해보험,005830,35.591443931439265,37.46589441495979,26.94266165360094,155400,161616,150738,119
KOSPI,현대제철,004020,32.475292076596965,31.461947128389067,36.062759304897845,39200,40768,38024,65
KOSPI,티웨이홀딩스,004870,33.16629292166603,47.87023769427827,18.96346714888152,471,489,456,1405
KOSPI,현대차우,005385,26.970323312696458,30.225100341264792,42.80457858121293,269500,280280,261415,90
KOSPI,두산퓨얼셀,336260,37.35840032323483,40.306302814299436,22.33529909763991,83500,86840,80995,33
KOSPI,HL만도,204320,32.82991209171345,36.18117390868861,30.988911019365702,60400,62816,58588,89
