이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
전기차(충전소/충전기),-1.08,LG헬로비전,10.84,알티캐스트,-6.68
타이어,-1.08,한국앤컴퍼니,2.89,코오롱인더,-6.36
제지,-1.13,국일제지,4.42,페이퍼코리아,-7.74
블록체인,-1.15,SK텔레콤,11.59,삼성에스디에스,-16.99
보톡스(보툴리눔톡신),-1.16,알에프텍,11.51,메디톡스,-8.43
영화,-1.18,롯데쇼핑,4.47,아센디오,-17.68
DMZ 평화공원,-1.18,누리플랜,10.14,퍼스텍,-9.13
육계,-1.18,체리부로,7.67,마니커,-5.32
엔터테인먼트,-1.18,노머스,6.35,아센디오,-17.68
비료,-1.22,체시스,4.23,효성오앤비,-4.71
니켈,-1.22,이지트로닉스,7.5,에코프로머티,-3.99
키오스크(KIOSK),-1.23,인바이오젠,12.72,케이씨에스,-6.54
비철금속,-1.24,삼아알미늄,4.9,알멕,-9.05
코로나19(진단/치료제/백신 개발 등),-1.24,인바이오젠,12.72,제이에스링크,-9.33
여름,-1.24,코웨이,5.11,오텍,-8.57
온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),-1.24,미코,15.71,SGC에너지,-9.57
日제품 불매운동(수혜),-1.25,크라운해태홀딩스,3.65,그리티,-7.19
LPG(액화석유가스),-1.27,S-Oil,3.44,흥구석유,-5.57
쿠팡(coupang),-1.31,엔비티,13.19,오텍,-8.57
STO(토큰증권 발행),-1.32,신한지주,4.1,헥토파이낸셜,-7.82
강관업체(Steel pipe),-1.33,이렘,2.69,넥스틸,-3.71
가상현실(VR),-1.34,한빛소프트,15.66,링크드,-8.95
철강 중소형,-1.35,신스틸,8.7,동일스틸럭스,-12.2
건설 대표주,-1.36,삼성물산,6.7,대우건설,-5.98
태풍 및 장마,-1.39,뉴보텍,5.0,하이드로리튬,-4.77
오가노이드,-1.4,티앤알바이오팹,1.71,토모큐브,-3.2
지주사,-1.4,SK스퀘어,7.17,LG,-15.56
줄기세포,-1.4,네이처셀,12.64,테고사이언스,-7.73
증권,-1.41,신영증권,5.7,미래에셋증권,-5.09
폐배터리,-1.42,킵스파마,8.5,웰크론한텍,-7.06
치매,-1.43,네이처셀,12.64,보로노이,-6.8
아프리카 돼지열병(ASF),-1.46,우리손에프앤지,6.61,윙입푸드,-29.97
모듈러주택,-1.47,삼성물산,6.7,엔알비,-6.74
남북경협,-1.47,자화전자,6.09,인디에프,-5.85
골판지 제조,-1.49,리더스코스메틱,4.39,한솔홀딩스,-6.07
환율하락 수혜,-1.58,하이트진로,3.58,한탑,-12.33
고령화 사회(노인복지),-1.58,코오롱티슈진,15.26,오텍,-8.57
전후 재건(우크라/중동 전쟁 등),-1.59,삼성물산,6.7,이노인스트루먼트,-9.81
클라우드 컴퓨팅,-1.61,SK텔레콤,11.59,삼성에스디에스,-16.99
핀테크(FinTech),-1.63,NAVER,3.31,아모텍,-10.69
자동차부품,-1.63,THE CUBE&,12.29,LG이노텍,-18.17
"백신/진단시약/방역(신종플루, AI 등)",-1.63,씨젠,4.26,아이진,-6.96
아스콘(아스팔트 콘크리트),-1.64,HC보광산업,1.54,아이티센씨티에스,-4.88
코리아 밸류업 지수(Korea Value-up Index),-1.67,SK텔레콤,11.59,LG이노텍,-18.17
LED장비,-1.68,주성엔지니어링,6.15,지아이에스,-10.36
탈모 치료,-1.7,인스코비,4.18,올릭스,-9.72
김밥(냉동김밥 등),-1.75,풀무원,0.8,한울앤제주,-4.38
비만치료제,-1.78,HLB펩,7.23,올릭스,-9.72
수자원(양적/질적 개선),-1.79,코웨이,5.11,웰크론한텍,-7.06
자율주행차,-1.81,팸텍,29.99,LG이노텍,-18.17
스마트폰,-1.83,알에프텍,11.51,LG이노텍,-18.17
종합 물류,-1.84,SG&G,0.79,STX그린로지스,-4.9
건설 중소형,-1.86,HS화성,1.27,대원,-6.28
스테이블코인,-1.9,NAVER,3.31,헥토파이낸셜,-7.82
폐기물처리,-1.93,와이엔텍,-0.65,한솔홀딩스,-6.07
남-북-러 가스관사업,-1.94,화성밸브,1.29,엔케이,-9.03
